Month,Gold
1970-02,34.990
1970-03,35.090
1970-04,35.620
1970-05,35.950
1970-06,35.420
1970-07,35.320
1970-08,35.380
1970-09,36.190
1970-10,37.520
1970-11,37.440
1970-12,37.440
1971-01,37.880
1971-02,38.740
1971-03,38.870
1971-04,39.010
1971-05,40.520
1971-06,40.100
1971-07,40.950
1971-08,42.710
1971-09,42.030
1971-10,42.500
1971-11,42.860
1971-12,43.480
1972-01,45.750
1972-02,48.260
1972-03,48.330
1972-04,49.030
1972-05,54.620
1972-06,62.090
1972-07,65.660
1972-08,67.030
1972-09,65.460
1972-10,64.860
1972-11,62.910
1972-12,63.910
1973-01,65.140
1973-02,74.200
1973-03,84.370
1973-04,90.500
1973-05,101.960
1973-06,120.120
1973-07,120.170
1973-08,106.760
1973-09,102.970
1973-10,100.080
1973-11,94.920
1973-12,106.720
1974-01,129.190
1974-02,150.130
1974-03,168.420
1974-04,172.240
1974-05,163.270
1974-06,154.100
1974-07,142.980
1974-08,154.640
1974-09,151.750
1974-10,158.780
1974-11,181.660
1974-12,183.780
1975-01,176.270
1975-02,179.600
1975-03,178.160
1975-04,169.840
1975-05,167.390
1975-06,164.240
1975-07,165.170
1975-08,163.000
1975-09,144.170
1975-10,142.790
1975-11,142.420
1975-12,139.300
1976-01,131.050
1976-02,131.060
1976-03,132.760
1976-04,127.940
1976-05,126.920
1976-06,125.710
1976-07,117.730
1976-08,109.930
1976-09,114.150
1976-10,116.150
1976-11,130.460
1976-12,133.930
1977-01,132.260
1977-02,136.240
1977-03,148.230
1977-04,149.170
1977-05,146.610
1977-06,140.780
1977-07,143.390
1977-08,144.940
1977-09,149.530
1977-10,158.950
1977-11,162.100
1977-12,160.450
1978-01,173.180
1978-02,178.140
1978-03,183.610
1978-04,175.280
1978-05,176.310
1978-06,183.750
1978-07,188.730
1978-08,206.300
1978-09,212.080
1978-10,227.440
1978-11,206.200
1978-12,207.850
1979-01,227.280
1979-02,245.670
1979-03,242.050
1979-04,239.110
1979-05,257.590
1979-06,279.070
1979-07,294.740
1979-08,300.820
1979-09,354.950
1979-10,391.660
1979-11,391.990
1979-12,455.080
1980-01,675.310
1980-02,665.320
1980-03,553.580
1980-04,517.410
1980-05,513.800
1980-06,600.720
1980-07,643.270
1980-08,627.150
1980-09,673.630
1980-10,661.150
1980-11,624.770
1980-12,538.260
1981-01,557.390
1981-02,499.760
1981-03,499.110
1981-04,495.800
1981-05,479.700
1981-06,461.090
1981-07,409.070
1981-08,410.160
1981-09,443.750
1981-10,437.760
1981-11,413.370
1981-12,410.090
1982-01,384.140
1982-02,374.130
1982-03,330.250
1982-04,350.300
1982-05,333.710
1982-06,314.980
1982-07,338.970
1982-08,364.230
1982-09,437.310
1982-10,422.150
1982-11,414.890
1982-12,444.500
1983-01,481.290
1983-02,491.090
1983-03,419.700
1983-04,432.880
1983-05,438.010
1983-06,412.840
1983-07,402.910
1983-08,416.200
1983-09,411.800
1983-10,393.600
1983-11,381.700
1983-12,388.340
1984-01,370.890
1984-02,385.960
1984-03,394.260
1984-04,381.370
1984-05,377.400
1984-06,377.700
1984-07,347.710
1984-08,347.700
1984-09,340.200
1984-10,341.000
1984-11,342.000
1984-12,319.540
1985-01,302.790
1985-02,299.100
1985-03,313.500
1985-04,326.800
1985-05,316.000
1985-06,316.500
1985-07,317.200
1985-08,330.400
1985-09,323.350
1985-10,325.850
1985-11,321.500
1985-12,321.900
1986-01,347.480
1986-02,338.890
1986-03,345.700
1986-04,340.440
1986-05,342.400
1986-06,342.700
1986-07,348.340
1986-08,376.660
1986-09,417.730
1986-10,423.510
1986-11,397.560
1986-12,390.920
1987-01,408.260
1987-02,401.120
1987-03,408.910
1987-04,438.350
1987-05,460.230
1987-06,449.590
1987-07,450.520
1987-08,461.150
1987-09,460.380
1987-10,465.350
1987-11,467.570
