month,inflation
1970-02,6.42458
1970-03,6.09418
1970-04,6.06061
1970-05,6.04396
1970-06,6.01093
1970-07,5.70652
1970-08,5.69106
1970-09,5.66038
1970-10,5.63003
1970-11,5.60000
1970-12,5.57029
1971-01,5.27704
1971-02,4.72441
1971-03,4.43864
1971-04,4.15584
1971-05,4.40415
1971-06,4.38144
1971-07,4.37018
1971-08,4.35897
1971-09,4.08163
1971-10,3.80711
1971-11,3.53535
1971-12,3.26633
1972-01,3.25815
1972-02,3.75940
1972-03,3.50000
1972-04,3.49127
1972-05,3.22581
1972-06,2.96296
1972-07,2.95567
1972-08,2.94840
1972-09,3.18627
1972-10,3.17848
1972-11,3.41463
1972-12,3.40633
1973-01,3.64078
1973-02,3.86473
1973-03,4.83092
1973-04,5.30120
1973-05,5.52885
1973-06,5.99520
1973-07,5.74163
1973-08,7.39857
1973-09,7.36342
1973-10,8.05687
1973-11,8.25472
1973-12,8.94118
1974-01,9.60187
1974-02,10.00000
1974-03,10.13825
1974-04,10.06865
1974-05,10.70615
1974-06,10.85973
1974-07,11.53846
1974-08,10.88889
1974-09,11.94690
1974-10,11.84211
1974-11,12.20044
1974-12,12.09503
1975-01,11.75214
1975-02,11.20507
1975-03,10.46025
1975-04,10.18711
1975-05,9.25926
1975-06,9.18367
1975-07,9.53347
1975-08,8.61723
1975-09,7.90514
1975-10,7.64706
1975-11,7.37864
1975-12,7.12909
1976-01,6.69216
1976-02,6.27376
1976-03,6.06061
1976-04,5.84906
1976-05,6.21469
1976-06,5.98131
1976-07,5.55556
1976-08,5.71956
1976-09,5.49451
1976-10,5.46448
1976-11,5.06329
1976-12,5.03597
1977-01,5.19713
1977-02,6.08229
1977-03,6.42857
1977-04,6.95187
1977-05,6.73759
1977-06,6.70194
1977-07,6.66667
1977-08,6.63176
1977-09,6.42361
1977-10,6.39033
1977-11,6.71256
1977-12,6.67808
1978-01,6.81431
1978-02,6.23946
1978-03,6.37584
1978-04,6.50000
1978-05,7.14286
1978-06,7.43802
1978-07,7.73026
1978-08,7.85597
1978-09,8.48287
1978-10,8.92857
1978-11,8.87097
1978-12,8.98876
1979-01,9.25040
1979-02,9.84127
1979-03,10.25237
1979-04,10.48513
1979-05,10.69767
1979-06,11.07692
1979-07,11.45038
1979-08,11.83612
1979-09,11.87970
1979-10,12.07154
1979-11,12.59259
1979-12,13.25479
1980-01,13.86861
1980-02,14.16185
1980-03,14.59227
1980-04,14.58924
1980-05,14.42577
1980-06,14.26593
1980-07,13.15068
1980-08,12.89009
1980-09,12.76882
1980-10,12.63298
1980-11,12.63158
1980-12,12.35371
1981-01,11.79487
1981-02,11.39241
1981-03,10.61174
1981-04,10.13597
1981-05,9.79192
1981-06,9.69697
1981-07,10.77482
1981-08,10.81731
1981-09,10.96544
1981-10,10.27155
1981-11,9.57944
1981-12,8.91204
1982-01,8.25688
1982-02,7.61364
1982-03,6.88488
1982-04,6.62177
1982-05,6.91193
1982-06,7.18232
1982-07,6.55738
1982-08,5.96529
1982-09,4.94092
1982-10,5.03212
1982-11,4.47761
1982-12,3.82572
1983-01,3.70763
1983-02,3.48469
1983-03,3.59029
1983-04,4.00000
1983-05,3.44108
1983-06,2.47423
1983-07,2.35897
1983-08,2.45650
1983-09,2.76356
1983-10,2.75229
1983-11,3.16327
1983-12,3.78710
1984-01,4.29009
1984-02,4.69388
1984-03,4.89297
1984-04,4.55466
1984-05,4.33468
1984-06,4.32596
1984-07,4.30862
1984-08,4.29570
1984-09,4.28287
1984-10,4.26587
1984-11,4.15430
1984-12,4.04339
1985-01,3.52595
1985-02,3.60624
1985-03,3.79009
1985-04,3.58180
1985-05,3.57488
1985-06,3.66442
1985-07,3.45821
1985-08,3.35249
1985-09,3.24737
1985-10,3.23501
1985-11,3.51377
1985-12,3.79147
1986-01,3.97351
1986-02,3.19849
1986-03,2.15356
1986-04,1.58879
1986-05,1.67910
1986-06,1.76744
1986-07,1.67131
1986-08,1.57553
1986-09,1.75763
1986-10,1.56682
1986-11,1.28440
1986-12,1.18721
1987-01,1.36488
1987-02,1.91431
1987-03,2.84143
1987-04,3.67985
1987-05,3.66972
1987-06,3.74771
1987-07,3.92694
1987-08,4.28832
1987-09,4.27273
1987-10,4.35572
1987-11,4.52899
1987-12,4.33213
1988-01,4.12926
1988-02,3.93560
1988-03,3.83244
1988-04,3.99290
1988-05,3.98230
1988-06,3.96476
1988-07,4.13005
1988-08,4.11199
1988-09,4.18483
1988-10,4.26087
1988-11,4.24610
1988-12,4.41176
1989-01,4.48276
1989-02,4.64716
1989-03,4.89270
1989-04,5.03413
1989-05,5.27660
1989-06,5.16949
1989-07,5.06329
1989-08,4.62185
1989-09,4.43515
1989-10,4.58716
1989-11,4.65503
1989-12,4.63960
1990-01,5.19802
1990-02,5.26316
1990-03,5.23732
1990-04,4.71162
1990-05,4.36540
1990-06,4.67365
1990-07,4.81928
1990-08,5.70281
1990-09,6.16987
1990-10,6.37959
1990-11,6.19539
1990-12,6.25495
1991-01,5.64706
1991-02,5.31250
1991-03,4.82115
1991-04,4.80993
1991-05,5.03486
1991-06,4.69592
1991-07,4.36782
1991-08,3.79939
1991-09,3.39623
1991-10,2.84858
1991-11,3.06657
1991-12,2.98063
1992-01,2.67261
1992-02,2.81899
1992-03,3.18991
1992-04,3.18283
1992-05,3.02360
1992-06,3.01471
1992-07,3.15712
1992-08,3.07467
1992-09,2.99270
1992-10,3.27988
1992-11,3.12046
1992-12,2.96671
1993-01,3.25380
1993-02,3.24675
1993-03,3.01941
1993-04,3.15638
