Month,GoldYearlyChange,FedRate,inflation,s&pYearlyChange
1971-02,10.71735,3.72,4.72441,8.15642
1971-03,10.7723,3.71,4.43864,11.94196
1971-04,9.51713,4.16,4.15584,27.60736
1971-05,12.7121,4.63,4.40415,30.19608
1971-06,13.21287,4.91,4.38144,37.13893
1971-07,15.93998,5.31,4.37018,22.5641
1971-08,20.71792,5.57,4.35897,21.47239
1971-09,16.13705,5.55,4.08163,16.74584
1971-10,13.27292,5.20,3.80711,13.22115
1971-11,14.4765,4.91,3.53535,7.79817
1971-12,16.13248,4.14,3.26633,10.73753
1972-01,20.77614,3.51,3.25815,8.34202
1972-02,24.57408,3.30,3.75940,10.12397
1972-03,24.33754,3.83,3.50000,6.87936
1972-04,25.68572,4.17,3.49127,3.55769
1972-05,34.79763,4.27,3.22581,9.93976
1972-06,54.83791,4.46,2.96296,7.42227
1972-07,60.34188,4.55,2.95567,12.3431
1972-08,56.94217,4.81,2.94840,12.22222
1972-09,55.7459,4.87,3.18627,12.41099
1972-10,52.61176,5.05,3.17848,18.47134
1972-11,46.78021,5.06,3.41463,24.14894
1972-12,46.98712,5.33,3.40633,15.57297
1973-01,42.38251,5.94,3.64078,11.64581
1973-02,53.75052,6.58,3.86473,4.78424
1973-03,74.57066,7.09,4.83092,4.01119
1973-04,84.58087,7.12,5.30120,-0.64995
1973-05,86.67155,7.84,5.52885,-4.10959
1973-06,93.4611,8.49,5.99520,-2.61438
1973-07,83.01858,10.40,5.74163,0.74488
1973-08,59.27197,10.50,7.39857,-6.21062
1973-09,57.30217,10.78,7.36342,-1.90045
1973-10,54.30157,10.01,8.05687,-2.95699
1973-11,50.88221,10.03,8.25472,-17.73779
1973-12,66.98482,9.95,8.94118,-17.37288
1974-01,98.32668,9.65,9.60187,-16.72414
1974-02,102.33154,8.97,10.00000,-13.87645
1974-03,99.62072,9.35,10.13825,-15.69507
1974-04,90.32044,10.51,10.06865,-15.60748
1974-05,60.13142,11.31,10.70615,-16.85714
1974-06,28.28838,11.93,10.85973,-17.54554
1974-07,18.98144,12.92,11.53846,-26.7098
1974-08,44.84826,12.01,10.88889,-30.71017
1974-09,47.37302,11.34,11.94690,-41.42066
1974-10,58.65308,10.06,11.84211,-31.76362
1974-11,91.38222,9.45,12.20044,-27.08333
1974-12,72.20765,8.53,12.09503,-29.64103
1975-01,36.44245,7.13,11.75214,-20.28986
1975-02,19.62965,6.24,11.20507,-15.17672
1975-03,5.78316,5.54,10.46025,-11.2766
1975-04,-1.3934,5.49,10.18711,-3.32226
1975-05,2.52343,5.22,9.25926,4.46735
1975-06,6.58014,5.55,9.18367,10.69767
1975-07,15.51965,6.10,9.53347,11.97982
1975-08,5.4061,6.14,8.61723,20.36011
1975-09,-4.99506,6.24,7.90514,32.12598
1975-10,-10.07054,5.82,7.64706,20.43302
1975-11,-21.60079,5.22,7.37864,30.28571
1975-12,-24.20285,5.20,7.12909,31.48688
1976-01,-25.65383,4.87,6.69216,31.03896
1976-02,-27.02673,4.77,6.27376,22.18137
1976-03,-25.48271,4.84,6.06061,23.26139
1976-04,-24.67028,4.82,5.84906,16.3803
1976-05,-24.17707,5.29,6.21469,9.86842
1976-06,-23.45957,5.48,5.98131,9.55882
1976-07,-28.72192,5.31,5.55556,16.44144
1976-08,-32.55828,5.29,5.71956,18.41197
1976-09,-20.82264,5.25,5.49451,25.38737
1976-10,-18.65677,5.02,5.46448,15.61798
1976-11,-8.3977,4.95,5.06329,11.95175
1976-12,-3.85499,4.65,5.03597,19.1796
1977-01,0.92331,4.61,5.19713,1.09019
1977-02,3.95239,4.68,6.08229,0.1003
1977-03,11.65261,4.69,6.42857,-4.28016
1977-04,16.59372,4.73,6.95187,-3.14961
1977-05,15.51371,5.35,6.73759,-4.09182
1977-06,11.98791,5.39,6.70194,-3.64334
1977-07,21.79563,5.42,6.66667,-4.44874
1977-08,31.84754,5.90,6.63176,-5.92809
